exp_tag,steps,scale,decay,tp,fp,fn,precision,recall,f1,avg_iou,mean_best_iog,coverage_iog50,coverage_iog80,coverage_iog95,mean_best_iou_gt
steps9000_scale0.5_decay0.5,9000,0.5,0.5,4,6,42,0.4,0.08695652173913043,0.14285714285714285,0.6807039380420579,0.6706345654227127,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10683831234919756
steps300_scale1_decay0.5,300,1.0,0.5,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7750526687726137,0.6405591805800703,0.6774193548387096,0.5806451612903226,0.45161290322580644,0.11221281144815114
steps450_scale1_decay0.5,450,1.0,0.5,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7804767150517592,0.6805680287450488,0.7096774193548387,0.6774193548387096,0.5161290322580645,0.11418565913667894
steps300_scale0.5_decay0.9,300,0.5,0.9,2,9,44,0.18181818181818182,0.043478260869565216,0.07017543859649122,0.82480621950816,0.6457528952193576,0.6774193548387096,0.5806451612903226,0.4838709677419355,0.10151171387225177
steps450_scale0.5_decay0.9,450,0.5,0.9,3,10,43,0.23076923076923078,0.06521739130434782,0.10169491525423728,0.7686825063072945,0.6669879285986876,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.1117865119114578
steps900_scale0.5_decay0.9,900,0.5,0.9,4,6,42,0.4,0.08695652173913043,0.14285714285714285,0.684229659721855,0.6612424758936389,0.7096774193548387,0.5806451612903226,0.4838709677419355,0.1111241166387253
steps1800_scale0.5_decay0.9,1800,0.5,0.9,3,11,43,0.21428571428571427,0.06521739130434782,0.1,0.7312795654673706,0.6074431392235746,0.6451612903225806,0.5806451612903226,0.45161290322580644,0.10542002804482638
steps3600_scale0.5_decay0.9,3600,0.5,0.9,3,4,43,0.42857142857142855,0.06521739130434782,0.11320754716981131,0.7337807497093132,0.6580951006640594,0.7096774193548387,0.5806451612903226,0.4838709677419355,0.10806593919897463
steps5400_scale0.5_decay0.9,5400,0.5,0.9,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.7352599386981296,0.6680567969650789,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11642522140011152
steps7200_scale0.5_decay0.9,7200,0.5,0.9,3,10,43,0.23076923076923078,0.06521739130434782,0.10169491525423728,0.7281014895655081,0.6639316715905745,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10497623059536504
steps9000_scale0.5_decay0.9,9000,0.5,0.9,4,5,42,0.4444444444444444,0.08695652173913043,0.14545454545454548,0.6891946402887797,0.6674036731928783,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.1110352567794936
steps300_scale1_decay0.9,300,1.0,0.9,4,6,42,0.4,0.08695652173913043,0.14285714285714285,0.7271312111925531,0.6772346575693422,0.7096774193548387,0.6774193548387096,0.5161290322580645,0.11783279623656408
steps450_scale1_decay0.9,450,1.0,0.9,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.759758403373514,0.6669445613472847,0.7096774193548387,0.6129032258064516,0.45161290322580644,0.11753268892136552
